id,gender,religion,educ,income,space_housing,own_housing,height,health,use_internet,fairness,opinion_homosex,manda_speak,educ_fath,educ_moth,food_exp,education_exp,health_exp,educ_parent,married,race,age,weight,party,happiness
8329,0,1,4,18000,10,0,167,3,1,2,1,3,1,1,9999998,9999998,9999998,1,1,0,70,70,0,3
8330,0,1,7,40000,120,0,170,4,4,4,1,3,4,1,20000,5000,2000,2.5,1,0,43,87.5,0,4
8331,1,0,3,0,120,0,155,1,3,1,1,2,3,1,7300,0,400,2,1,0,45,47.5,0,3
8332,0,1,12,60000,70,0,177,4,5,2,4,5,4,4,NA,NA,NA,4,0,0,31,70,0,4
8333,0,1,3,12000,50,0,170,4,1,4,1,3,3,3,NA,NA,NA,3,1,0,48,65,0,4
8334,0,1,7,60000,110,0,180,5,5,2,1,3,5,5,10000,10000,0,5,1,0,37,75,0,4
8335,0,1,4,50000,120,1,173,4,1,5,1,1,1,1,NA,NA,NA,1,1,0,66,72.5,1,5
8336,0,1,6,20000,255,1,160,3,1,4,1,3,3,1,20000,30000,1000,2,1,0,59,65,1,4
8337,0,1,3,36000,70,1,170,4,4,2,2,5,5,1,15000,0,5000,3,1,0,63,80,0,4
8338,1,1,1,1400,35,0,160,2,1,4,2,4,5,1,NA,NA,NA,3,1,0,62,67,0,4
8339,1,1,4,10000,87,0,160,3,2,2,1,2,1,1,15000,3000,3000,1,1,0,42,55,0,4
8341,1,1,3,60000,45,1,162,5,1,2,1,2,1,1,NA,NA,NA,1,1,0,77,70,0,5
8342,0,0,3,1200,75,1,170,3,1,1,1,1,5,5,NA,NA,NA,5,0,0,80,45,0,4
8343,1,1,6,24000,80,1,160,3,1,4,1,3,1,1,NA,NA,NA,1,0,0,48,70,0,4
8344,0,1,3,0,255,0,179,5,4,4,3,4,3,1,NA,NA,NA,2,1,0,31,70,0,4
8345,1,1,10,100000,100,1,160,4,4,4,3,4,7,2,NA,NA,NA,4.5,1,0,45,60,0,4
8346,0,1,1,14400,70,1,166,3,1,4,3,3,1,1,NA,NA,NA,1,0,0,81,62.5,1,4
8348,1,1,4,35000,85,0,164,4,1,4,1,3,2,2,9999998,9999998,9999998,2,1,0,64,70,0,4
8349,0,1,4,50000,110,1,172,5,3,4,1,3,1,1,12000,5000,500,1,1,0,36,85,0,5
8350,1,1,3,2000,85,0,160,1,1,3,1,1,1,1,NA,NA,NA,1,1,0,65,50,0,2
8351,0,0,3,1200,50,1,170,2,1,4,3,3,1,1,NA,NA,NA,1,0,1,77,65,0,5
8352,0,1,4,10000,180,1,168,5,5,4,1,4,2,2,NA,NA,NA,2,1,0,48,60,0,4
8353,1,1,7,0,648,0,166,5,4,2,1,5,4,6,NA,NA,NA,5,1,0,27,61,1,4
8354,0,1,6,100000,128,0,177,5,4,3,3,3,2,3,50000,5000,2000,2.5,1,0,33,75,0,5
8355,0,1,4,100000,200,1,170,3,1,4,1,2,3,3,NA,NA,NA,3,1,0,52,60,1,4
8356,1,1,3,0,90,0,150,4,1,3,3,1,1,1,NA,NA,NA,1,1,0,62,66,0,5
